compute-4-0-18.foreman.hpc.ntnu.no
K=8, L=1, SE_file='./data/SE(Bessaker)_with_wind.txt', batch_size=32, d=8, decay_epoch=10, learning_rate=0.001, log_file='./data/log', max_epoch=1, model_file='./GMAN_Bessaker_w_wind.pkl', num_his=12, num_pred=12, patience=10, test_ratio=0.2, time_slot=5, traffic_file='./data/Bessaker.h5', train_ratio=0.7, val_ratio=0.1
loading data...
trainX: torch.Size([40709, 12, 27])		 trainY: torch.Size([40709, 12, 27])
valX:   torch.Size([5796, 12, 27])		valY:   torch.Size([5796, 12, 27])
testX:   torch.Size([11615, 12, 27])		testY:   torch.Size([11615, 12, 27])
mean:   7.6509		std:   38.5244
data loaded!
compiling model...
trainable parameters: 209,923
**** training model ****
Starting batches..  1273
Training batch: 5 in epoch:0, training batch loss:464.8073
Training batch: 10 in epoch:0, training batch loss:259.6415
Training batch: 15 in epoch:0, training batch loss:196.1857
Training batch: 20 in epoch:0, training batch loss:290.6136
Training batch: 25 in epoch:0, training batch loss:230.4777
Training batch: 30 in epoch:0, training batch loss:198.3676
Training batch: 35 in epoch:0, training batch loss:186.5625
Training batch: 40 in epoch:0, training batch loss:173.0645
Training batch: 45 in epoch:0, training batch loss:176.1121
Training batch: 50 in epoch:0, training batch loss:295.4209
Training batch: 55 in epoch:0, training batch loss:145.6259
Training batch: 60 in epoch:0, training batch loss:387.7013
Training batch: 65 in epoch:0, training batch loss:229.0922
Training batch: 70 in epoch:0, training batch loss:150.3488
Training batch: 75 in epoch:0, training batch loss:389.9166
Training batch: 80 in epoch:0, training batch loss:244.4108
Training batch: 85 in epoch:0, training batch loss:162.2429
Training batch: 90 in epoch:0, training batch loss:319.3955
Training batch: 95 in epoch:0, training batch loss:188.3669
Training batch: 100 in epoch:0, training batch loss:225.5997
Training batch: 105 in epoch:0, training batch loss:226.2728
Training batch: 110 in epoch:0, training batch loss:185.0067
Training batch: 115 in epoch:0, training batch loss:178.6924
Training batch: 120 in epoch:0, training batch loss:163.7423
Training batch: 125 in epoch:0, training batch loss:209.6998
Training batch: 130 in epoch:0, training batch loss:124.4680
Training batch: 135 in epoch:0, training batch loss:179.4892
Training batch: 140 in epoch:0, training batch loss:202.7590
Training batch: 145 in epoch:0, training batch loss:331.8512
Training batch: 150 in epoch:0, training batch loss:165.0813
Training batch: 155 in epoch:0, training batch loss:171.7993
Training batch: 160 in epoch:0, training batch loss:121.0658
Training batch: 165 in epoch:0, training batch loss:190.9133
Training batch: 170 in epoch:0, training batch loss:211.6740
Training batch: 175 in epoch:0, training batch loss:220.6111
Training batch: 180 in epoch:0, training batch loss:148.4722
Training batch: 185 in epoch:0, training batch loss:158.5065
Training batch: 190 in epoch:0, training batch loss:194.1553
Training batch: 195 in epoch:0, training batch loss:258.3686
Training batch: 200 in epoch:0, training batch loss:160.5627
Training batch: 205 in epoch:0, training batch loss:151.6410
Training batch: 210 in epoch:0, training batch loss:134.6206
Training batch: 215 in epoch:0, training batch loss:132.8211
Training batch: 220 in epoch:0, training batch loss:149.4648
Training batch: 225 in epoch:0, training batch loss:293.0268
Training batch: 230 in epoch:0, training batch loss:164.8674
Training batch: 235 in epoch:0, training batch loss:185.2326
Training batch: 240 in epoch:0, training batch loss:179.4686
Training batch: 245 in epoch:0, training batch loss:219.0152
Training batch: 250 in epoch:0, training batch loss:126.1672
Training batch: 255 in epoch:0, training batch loss:322.4139
Training batch: 260 in epoch:0, training batch loss:207.7110
Training batch: 265 in epoch:0, training batch loss:160.8398
Training batch: 270 in epoch:0, training batch loss:259.3450
Training batch: 275 in epoch:0, training batch loss:251.5382
Training batch: 280 in epoch:0, training batch loss:300.3359
Training batch: 285 in epoch:0, training batch loss:164.3508
Training batch: 290 in epoch:0, training batch loss:204.5298
Training batch: 295 in epoch:0, training batch loss:146.3867
Training batch: 300 in epoch:0, training batch loss:141.8401
Training batch: 305 in epoch:0, training batch loss:153.3022
Training batch: 310 in epoch:0, training batch loss:227.8081
Training batch: 315 in epoch:0, training batch loss:201.0041
Training batch: 320 in epoch:0, training batch loss:211.9107
Training batch: 325 in epoch:0, training batch loss:200.1102
Training batch: 330 in epoch:0, training batch loss:148.4880
Training batch: 335 in epoch:0, training batch loss:182.8553
Training batch: 340 in epoch:0, training batch loss:298.5898
Training batch: 345 in epoch:0, training batch loss:161.4219
Training batch: 350 in epoch:0, training batch loss:208.0170
Training batch: 355 in epoch:0, training batch loss:285.4990
Training batch: 360 in epoch:0, training batch loss:178.9822
Training batch: 365 in epoch:0, training batch loss:234.0490
Training batch: 370 in epoch:0, training batch loss:167.3238
Training batch: 375 in epoch:0, training batch loss:196.9291
Training batch: 380 in epoch:0, training batch loss:189.5847
Training batch: 385 in epoch:0, training batch loss:232.4144
Training batch: 390 in epoch:0, training batch loss:138.1101
Training batch: 395 in epoch:0, training batch loss:274.6319
Training batch: 400 in epoch:0, training batch loss:151.1856
Training batch: 405 in epoch:0, training batch loss:163.1064
Training batch: 410 in epoch:0, training batch loss:338.1723
Training batch: 415 in epoch:0, training batch loss:231.0375
Training batch: 420 in epoch:0, training batch loss:228.2828
Training batch: 425 in epoch:0, training batch loss:161.2659
Training batch: 430 in epoch:0, training batch loss:240.1366
Training batch: 435 in epoch:0, training batch loss:202.7935
Training batch: 440 in epoch:0, training batch loss:181.0348
Training batch: 445 in epoch:0, training batch loss:274.3430
Training batch: 450 in epoch:0, training batch loss:258.9283
Training batch: 455 in epoch:0, training batch loss:250.8977
Training batch: 460 in epoch:0, training batch loss:267.3746
Training batch: 465 in epoch:0, training batch loss:157.9950
Training batch: 470 in epoch:0, training batch loss:180.0400
Training batch: 475 in epoch:0, training batch loss:163.0936
Training batch: 480 in epoch:0, training batch loss:220.2916
Training batch: 485 in epoch:0, training batch loss:183.4516
